10000,Chocolate Sandwich Cookies I,3.86363625526428,6,39,600,30M,8M,1H10M
10001,Chocolate Pizzelles,4.46666669845581,4,13,358,NA,NA,NA
10002,Peter Pan Cookies,3.33333325386047,3,3,200,NA,NA,NA
10003,Cookie Press Shortbread,4.04516124725342,79,135,116,25M,10M,35M
10005,Nana Smith's Oatmeal Biscuits,3,1,5,352,NA,NA,NA
10006,Starr's Soft Sugar Cookies,4,0,6,237,NA,NA,NA
10007,Evelyn's Cornflake Cookies,3.85714292526245,0,7,196,NA,NA,NA
10008,Praline Cookies,4,1,3,260,20M,10M,1Day30M
10009,Brown Sugar Frosting,3.46666669845581,3,14,59,NA,NA,NA
10010,Toasted Oats Cookies,4.62857151031494,12,28,129,NA,NA,NA
10011,Butter Cookies II,4.16289615631104,180,188,103,15M,10M,1H40M
10012,Kourabiedes I,4.42857122421265,4,6,194,NA,NA,NA
10013,Cherry-Cornflake Cookies,4.16666650772095,0,6,210,NA,NA,NA
10014,Hazelnut Biscotti,4.45454549789429,5,10,259,NA,NA,NA
10015,Drommar,4.41666650772095,13,11,140,45M,12M,57M
10016,Whoopie Pies I,4.29729747772217,53,95,873,NA,NA,NA
10017,Whoopie Pies II,4.29411745071411,15,12,793,NA,NA,NA
10018,Whoopie Pies III,4,20,37,373,NA,NA,NA
10019,Chocolate Peanut Butter Bars II,4.67222213745117,74,146,588,NA,NA,NA
10020,Dawn's Sugar Cookies,3.58333325386047,0,17,306,35M,10M,1H15M
10021,Lemon Squares II,3.39393949508667,6,27,154,NA,NA,NA
10022,Pignoli Cookies I,4.47468376159668,39,134,101,30M,18M,1H10M
10023,Eggless Ginger Cookies,4.31428575515747,5,30,447,NA,NA,NA
10025,White Chocolate Macadamia Nut Cookies III,4.48543691635132,504,636,122,15M,10M,45M
10026,"One, Two, Three, Four Cookies",3.5,0,4,294,NA,NA,NA
10027,Sugar Cookies II,2.40625,3,30,37,20M,40M,1H
10028,Jewel Swirls,3.88888883590698,7,15,284,NA,NA,NA
10029,Mrs. Fields Cookie Recipe II,4.64893627166748,57,79,301,NA,NA,NA
10030,Mom's Excellent Chocolate Chip Cookies,2.21428561210632,2,23,358,NA,NA,NA
10031,Pumpkin Chocolate Chip Cookies I,4.48341226577759,64,165,95,15M,15M,45M
10032,Allison's Supreme Chocolate Chip Cookies,4.64150953292847,2,44,294,15M,12M,40M
10033,Iced Pumpkin Cookies,4.71677875518799,2K,3081,122,20M,20M,1H20M
10034,Orange Drop Cookies I,4.57142877578735,5,19,149,NA,NA,NA
10035,Pumpkin Cookies II,4.08163261413574,3,41,255,NA,NA,NA
10036,Pumpkin Pecan White Chocolate Cookies,4.42372894287109,14,48,170,15M,22M,40M
10037,Huge Scary Spiders,3.14285707473755,1,7,217,NA,NA,NA
10038,Melting Moments I,4.42857122421265,1,24,141,NA,NA,NA
10039,Nutcracker Bars,4.22222232818604,2,9,206,NA,NA,NA
10040,Nanaimo Bars I,4.66666650772095,34,65,389,NA,NA,NA
10041,Drop Butter Cookies,4.03125,1,28,86,NA,NA,NA
10042,Lucky Cakes,4.5,0,2,610,NA,NA,NA
10043,Persimmon Cookies I,4.49450540542603,52,75,214,NA,NA,NA
10044,Belgian Christmas Cookies,3.83333325386047,1,20,111,20M,10M,30M
10045,Urban Legend Cookies II,4.72727251052856,9,21,312,NA,NA,NA
10046,Austrian Peach Cookie,4,2,16,411,NA,NA,NA
10047,Hoot Owl Cookies,4.6875,37,30,199,25M,12M,1H40M
10048,Black Walnut Balls,4.44444465637207,1,8,252,NA,NA,NA
10049,Butter Tarts,4.65193367004395,202,143,641,NA,NA,NA
10050,Zippy Chocolate Chip Cookies,4.55555534362793,26,15,315,NA,NA,NA
10051,Cookie Pops on a Stick!!,3.54545450210571,0,10,300,NA,NA,NA
10052,Owl Cookies,4.125,3,5,151,NA,NA,NA
10053,Rumford Sugar Cookies,4.40000009536743,1,4,207,NA,NA,NA
10054,Cathedral Window Holiday Bars,3,0,1,686,NA,NA,NA
10055,Chocolate Fruit Bar,3.5,0,2,213,NA,NA,NA
10056,Spritz Cookies II,4.15517234802246,49,149,144,NA,NA,NA
10057,Refrigerator Cookies II,4.33333349227905,1,6,87,NA,NA,NA
10058,Butterscotch Potato Chip Cookies,4.23529434204102,7,33,276,NA,NA,NA
10059,Scottish Shortbread III,4.60583925247192,99,124,175,20M,50M,1H15M
10060,Peanut Butter Chews,4.51666688919067,5,157,151,25M,NA,55M
10061,Venetians,4.86666679382324,8,14,317,NA,NA,NA
10062,Aunt Zula's Christmas Cutouts,4.29032278060913,4,29,309,NA,NA,NA
10063,Church Windows I,4.44444465637207,13,22,183,NA,NA,NA
10064,Magic Peanut Butter Middles,4.46104717254639,155,618,289,NA,NA,NA
10066,Muesli Bars I,4.4210524559021,3,16,111,NA,NA,NA
10067,Oatmeal Gems,4.59999990463257,3,17,146,NA,NA,NA
10068,Lady Locks,4.44444465637207,3,8,360,NA,NA,NA
10069,Cinnamon Madeleines,3.79999995231628,6,10,434,NA,NA,NA
10070,Christmas Cornflake Wreath Cookies,4.34131717681885,98,139,117,NA,NA,NA
10071,Melt-Away Peppermint Wreaths,3.93333339691162,6,12,197,NA,NA,NA
10072,Vanilla Kifli,4.06666660308838,2,12,220,NA,NA,NA
10073,Hungarian Kifli I,3.88888883590698,2,6,121,NA,NA,NA
10074,Crackle Top Molasses Cookies,4.72375679016113,61,288,148,NA,NA,NA
10075,Grandma's Brown Sugar Drop Cookies,3.8125,2,30,241,NA,NA,NA
10076,Grandmother's Brown Sugar Cookies,3.20000004768372,0,5,269,NA,NA,NA
10077,Kindness Cookies,1.88888883590698,0,8,45,NA,NA,NA
10078,Ricotta Cookies I,3.375,4,7,104,20M,15M,35M
10079,Whipped Shortbread Cookies,4.24358987808228,46,135,146,15M,20M,35M
10080,Mountain Cookies II,4.54545450210571,5,10,219,NA,NA,NA
10081,Carrot Walnut Cookies,4.5,0,4,144,NA,NA,NA
10083,Pecan Pie Bars II,4.40277767181396,25,63,500,NA,NA,NA
10084,Vinegar Cookies,4.42051267623901,7,162,214,NA,NA,NA
10085,Kourabiedes II,1.66666662693024,0,2,206,NA,NA,NA
10086,Date Rolls,4.5,2,4,198,NA,NA,NA
10087,Date Nut Pinwheel Cookies I,4.40000009536743,10,22,231,NA,NA,NA
10088,Date Nut Pinwheel Cookies II,4.44444465637207,14,23,123,NA,NA,NA
10089,Poppy Seed Pinwheels,3.5,0,4,280,NA,NA,NA
10090,Poppy Seed Cookies I,4.14285707473755,0,11,143,NA,NA,NA
10091,Dora's Christmas Cookies,4.20779228210449,9,72,214,NA,NA,NA
10092,Christmas Rocks,5,1,2,100,NA,NA,NA
10093,Brown-Eyed Susans I,4.42500019073486,16,29,108,NA,NA,NA
10094,Chocolate Macadamia Nut and White Chocolate Chip Cookies,2.95238089561462,3,19,194,NA,NA,NA
10095,Candy Cane Cookies I,3.68181824684143,54,72,287,NA,NA,NA
